"JASID","自治体コード","遺跡番号","ふりがな","遺跡名","所在地","時代","種別","主な遺構/概要","主な出土品","経度","緯度","平安時代"
1310100500,13101,"5","","千代田区№5遺跡","千代田区 千代田","[奈良時代][平安時代]","包蔵地","","土師器",139.7534709,35.68565319,"1"
1310100800,13101,"8","うしがふちかいづか","牛ヶ淵貝塚","千代田区 九段南一丁目","[縄文時代（中期）][弥生時代][古墳時代][奈良時代][平安時代]","貝塚","","縄文土器　弥生土器　土師器",139.7510672,35.69479204,"1"
1310100900,13101,"9","くだんざかうえかいづか","九段坂上貝塚","千代田区 九段北一丁目","[縄文時代（中期）][弥生時代][平安時代]","貝塚","[弥生時代]V字溝　住居","縄文土器　弥生土器　土師器　須恵器",139.7491794,35.69628581,"1"
1310106000,13101,"60","いいだまちいせき","飯田町遺跡","千代田区 飯田町二丁目　 飯田町三丁目","[縄文時代][古墳時代][奈良時代][平安時代][近世]","包蔵地・屋敷","[近世]屋敷境　地下室　土坑　上水道　石組溝　井戸　庭園","縄文土器　土師器　須恵器　陶磁器　瓦　砥石　硯　漆器　下駄　曲物",139.7498656,35.70120476,"1"
1310107100,13101,"71","","千代田区№71遺跡","千代田区 千代田","[縄文時代（前期・中期・後期）][弥生時代（後期）][平安時代]","包蔵地","","縄文土器　石器　土錘　土製品　弥生土器　土師器　須恵器",139.7500377,35.68272514,"1"
1310107500,13101,"75","もんぶかがくしょうこうないいせき","文部科学省構内遺跡","千代田区 霞ヶ関三丁目","[平安時代][近世]","包蔵地・城館・屋敷","[近世]石垣（外堀）　溝　ピット","陶磁器　瓦　須恵器",139.7490073,35.67131152,"1"
1310306000,13103,"60","いさらごかいづかいせき","伊皿子貝塚遺跡","港区 三田四丁目","[縄文時代（後期）][弥生時代][古墳時代][平安時代][近世]","集落・貝塚・社寺","[縄文時代]住居　土坑　[弥生時代]方形周溝墓　[古墳時代]住居　[平安時代]住居 [近世]礎石　溝状遺構　石垣","縄文土器　弥生土器　土師器　土製品　石製品　貝製品　牛骨　魚骨　陶磁器",139.739954039508,35.6415005633308,"1"
1310306400,13103,"64","しなのいいやまはんほんだけやしきあといせき","信濃飯山藩本多家屋敷跡遺跡","港区 高輪三丁目","[縄文時代（中期）][奈良時代][平安時代][中世][近世]","包蔵地・集落・屋敷・その他（道路）","住居跡　炉跡　土坑　道路状遺構","打斧　縄文土器　弥生土器　かわらけ　陶磁器　瓦　金属製品",139.7332249134,35.6323624246326,"1"
1310307500,13103,"75","みただいまちいせき","三田台町遺跡","港区 三田四丁目","[旧石器時代][縄文時代][弥生時代][古墳時代][奈良時代][平安時代]","集落","[弥生時代]?　住居　[古墳時代]住居","石器　縄文土器　弥生土器　土師器　須恵器",139.739112898499,35.6418772286788,"1"
1310310000,13103,"100","","港区№100遺跡","港区 虎ノ門四丁目","[縄文時代（前期～後期）][弥生時代][古墳時代][奈良時代][平安時代]","包蔵地","","縄文土器　打斧　磨斧　磨石　弥生土器　土師器　須恵器",139.74316410706,35.665059580064,"1"
1310310900,13103,"109","","港区№109遺跡","港区 三田一丁目","[奈良時代][平安時代]","包蔵地","","土器",139.741333,35.653812,"1"
1310314500,13103,"145","じょうきょうじあと・じょうきょうじもんぜんまちやあと","承教寺跡・承教寺門前町屋跡遺跡","港区 高輪二丁目","[奈良時代][平安時代][近世]","集落、社寺、その他（町屋跡）","[奈良・平安時代]竪穴住居跡　[近世]地下室　土坑　ピット　井戸　礎石","(奈良・平安)土師器　須恵器　耳環　(近世)陶磁器　土器　瓦　土製品　動物遺体",139.73446087479,35.6360596610391,"1"
1310315600,13103,"156","いわみつわのはんかめいけやしきあといせき","石見津和野藩亀井家屋敷跡遺跡","港区 南麻布四丁目","[縄文時代][弥生時代][古墳時代][奈良時代][平安時代][中世][近世]","包蔵地・墳墓・屋敷","土坑　礎石　道路状遺構　大型方形区画　井戸　墳墓","[縄文時代]土器　[中世]陶器　[江]陶磁器　土器　瓦",139.727182432146,35.650498164979,"1"
1310400200,13104,"2","おちあいいせき","落合遺跡","新宿区 中落合四丁目　 中井一丁目　 中井二丁目","[旧石器時代][縄文時代（早期?後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][近世]","包蔵地・集落・屋敷","[旧石器時代]礫群　[縄文時代]竪穴住居　土坑　炉跡　集石　土器焼成坑　ピット　[弥生時代]竪穴住居　掘立柱建物跡　方形周溝墓　[古墳時代]住居　[奈良時代][平安時代]掘立柱建物　竪穴住居跡　土坑　[近世]杭列　焼土　溝状遺構　ピット　[時期不明]建物　住居　ピット　溝","石器　ナイフ形石器　石核　剥片　砕片　縄文土器　打斧　石槍　石鏃　石核　弥生土器　石包丁　土師器　須恵器　鉄製品　陶磁器　刀子　砥石　坏",139.6805457,35.71627471,"1"
1310400300,13104,"3","","新宿区No.3遺跡","新宿区 中井二丁目","[奈良時代][平安時代]","集落","[奈良時代][平安時代]竪穴住居跡","土器　土師器　須恵器　鉄滓",139.6865538,35.71680433,"1"
1310400800,13104,"8","かみおちあいにちょうめいせき","上落合二丁目西遺跡","新宿区 上落合二丁目","[古墳時代][平安時代]","集落","[古墳時代]建物跡　[平安時代]住居跡","土師器　土製丸玉　須恵器　土製支脚　鉄器・鉄製品",139.6861762,35.71273451,"1"
1310401000,13104,"10","とやまがはらうえのだいいせき","戸山ヶ原上ノ台遺跡","新宿区 百人町四丁目　 北新宿四丁目","[旧石器時代][縄文時代（中期?後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代]","包蔵地・集落","[旧石器時代]集中地点　[縄文時代]竪穴住居跡　土坑　炉穴　集石　ピット　[古墳時代]竪穴住居跡　住居跡　ピット　[近世]土坑　ピット","ナイフ形石器　角錐状石器　リタッチドフレイク　フレイク　チップ　縄文土器　土偶　土製垂飾品　石器　弥生土器　土師器　　灰釉陶器　鉄器　陶磁器類　煙草吸口　銭貨　笄　ガラス瓶類",139.6947029,35.70849936,"1"
1310402900,13104,"29","","新宿区No.29遺跡","新宿区 戸山三丁目","[平安時代]","包蔵地","[平安時代]火葬蔵骨器","蔵骨器（土師器・須恵器蓋）",139.7121743,35.70653779,"1"
