"JASID","自治体コード","遺跡番号","ふりがな","遺跡名","所在地","時代","種別","主な遺構/概要","主な出土品","経度","緯度","時代不明"
1311002600,13110,"26","さんごうづか","三合塚","目黒区 南一丁目","[時期不明]","その他（塚群）","","",139.6881545,35.61344615,"1"
1311118400,13111,"184","おうもりいなりかいづか","王森稲荷貝塚","大田区 大森東一丁目","[時代不明]","貝塚","","",139.735505,35.57645732,"1"
1311119200,13111,"192","うのきおくしまてんじんのもりいせき","鵜ノ木奥島天神の森遺跡","大田区 西蒲田一丁目","[時代不明]","墳墓","","",139.7113104,35.57090525,"1"
1311119300,13111,"193","ほしやみょうじんづか","星谷明神塚","大田区 西蒲田五丁目","[時代不明]","墳墓","","",139.7136922,35.56722246,"1"
1311119400,13111,"194","むらやまみょうじんづか","村山明神塚","大田区 西蒲田五丁目","[時代不明]","墳墓","","",139.7159238,35.56676864,"1"
1311119500,13111,"195","はくさんみょうじんづか","白山明神塚","大田区 西蒲田五丁目","[時代不明]","墳墓","","",139.7155685,35.56711934,"1"
1311119600,13111,"196","せんげんみょうじんづか","浅間明神塚","大田区 西蒲田五丁目","[時代不明]","墳墓","","",139.7142505,35.56537931,"1"
1311119700,13111,"197","しらはたみょうじんづか","白旗明神塚","大田区 西蒲田六丁目","[時代不明]","墳墓","","",139.7119818,35.56462353,"1"
1311119800,13111,"198","じょういみょうじんづか","承位明神塚","大田区 西蒲田六丁目","[時代不明]","墳墓","","",139.7127596,35.56458838,"1"
1311121000,13111,"210","たかはた・しんめいづか","高畑・神明塚","大田区 西六郷二丁目","[時代不明]","墳墓","","",139.7074804,35.54842472,"1"
1311121400,13111,"214","まちやいなりづか","町屋稲荷塚","大田区 仲六郷一丁目","[時代不明]","墳墓","","",139.714648,35.55276125,"1"
1311121500,13111,"215","しょうぞくづか","装束塚","大田区 仲六郷一丁目","[時代不明]","墳墓","","",139.7154995,35.5523728,"1"
1311121600,13111,"216","でむら・みょうじんやまいせき","出村・明神山遺跡","大田区 仲六郷一丁目","[時代不明]","墳墓","","",139.7175451,35.55227393,"1"
1311121800,13111,"218","にとうづか","ニトウ塚","大田区 仲六郷四丁目","[時代不明]","墳墓","","",139.7085117,35.54381548,"1"
1311122100,13111,"221","ぞうしき・てんじんやまいせき","雑色・天神山遺跡","大田区 南六郷二丁目","[時代不明]","墳墓","","",139.71879,35.54517731,"1"
1311122300,13111,"223","ろくごうふるかいどうかいづか","六郷古街道貝塚","大田区 南六郷三丁目","[時代不明]","貝塚","","",139.7167944,35.54601535,"1"
1311122800,13111,"228","おおくらとうえんないかいづか","大倉陶園内貝塚","大田区 西六郷一丁目","[時代不明]","貝塚","","",139.7108395,35.55504413,"1"
1311209400,13112,"94","にしざんやいせき","西山谷遺跡","世田谷区 若林三丁目","[時代不明]","包蔵地","","",139.6578,35.64457,"1"
1311219900,13112,"199","べんてんづか・てんじんづか","弁天塚・天神塚","世田谷区 岡本二丁目","[時代不明]","塚","","",139.6199715,35.62231512,"1"
1311303400,13113,"34","","渋谷区№34遺跡","渋谷区 円山町","[時代不明]","社寺","","人骨",139.6953318,35.65787912,"1"
1311305400,13113,"54","","渋谷区№54遺跡","渋谷区 恵比寿南一丁目","[時代不明]","包蔵地","","土器",139.709943,35.64556915,"1"
1311305700,13113,"57","","渋谷区№57遺跡","渋谷区 恵比寿南三丁目","[時代不明]","包蔵地","","土器",139.7046558,35.64554125,"1"
1311309300,13113,"93","かわさきしょうじろうやかた（せのおしやかた）あと","河崎庄司郎館(妹尾氏館)跡","渋谷区 渋谷三丁目","[時代不明]","城館","","",139.7046705,35.65744555,"1"
1311409000,13114,"90","とうきょうだいがくふぞくこうとうがっこうにしがわいせき","東京大学付属高等学校西側遺跡","中野区 南台二丁目","[時代不明]","包蔵地","","",139.6721357,35.68502956,"1"
