JASID,自治体コード,遺跡番号,ふりがな,遺跡名,所在地,時代,種別,主な遺構/概要,主な出土品,経度,緯度
13101000100,13101,1,えどじょうあと,江戸城跡,千代田区 千代田　 皇居外苑　 北の丸公園,[近世],城館,[近世]建物礎石　敷石遺構　囲状遺構　土留遺構　石組溝　暗渠　城門　城橋　天守台　櫓堀　石塁　石垣　地下室　井戸　上下水道,縄文土器　弥生土器　土師器　陶磁器　瓦　金属製品　木製品　鉄釘　火箸　簪　笄　チャコ　銭貨,139.757489,35.68619003
13101000200,13101,2,きゅうほんまるにしかいづか,旧本丸西貝塚,千代田区 千代田,[縄文時代（前期～晩期）],貝塚,,縄文土器　打斧　石鏃　有溝土錘　骨角器,139.7550845,35.6866013
13101000300,13101,3,,千代田区№3遺跡,千代田区 千代田,[弥生時代],包蔵地,,弥生土器,139.7568012,35.6844541
13101000400,13101,4,もみじやまいせき,紅葉山遺跡,千代田区 千代田,[縄文前期],包蔵地,,縄文土器,139.751926,35.68495605
13101000500,13101,5,,千代田区№5遺跡,千代田区 千代田,[奈良時代][平安時代],包蔵地,,土師器,139.7534709,35.68565319
13101000600,13101,6,,千代田区№6遺跡,千代田区 千代田,,貝塚,,土師器,139.7535053,35.68158178
13101000800,13101,8,うしがふちかいづか,牛ヶ淵貝塚,千代田区 九段南一丁目,[縄文時代（中期）][弥生時代][古墳時代][奈良時代][平安時代],貝塚,,縄文土器　弥生土器　土師器,139.7510672,35.69479204
13101000900,13101,9,くだんざかうえかいづか,九段坂上貝塚,千代田区 九段北一丁目,[縄文時代（中期）][弥生時代][平安時代],貝塚,[弥生時代]V字溝　住居,縄文土器　弥生土器　土師器　須恵器,139.7491794,35.69628581
13101001000,13101,10,ながたちょうにちょうめいせき,永田町二丁目遺跡,千代田区 永田町二丁目,[縄文時代（後期）][弥生時代（中期）][近世],包蔵地・集落・貝塚・屋敷,[弥生時代]住居跡　土坑　環壕　溝　[近世]土坑　井戸　溝　建物址,石器　弥生土器　陶磁器類　金属　木製品　瓦,139.7438231,35.67281761
13101001100,13101,11,,千代田区№11遺跡,千代田区 永田町二丁目,[縄文時代（中期）],包蔵地,,縄文土器,139.7395316,35.6742121
13101001200,13101,12,,千代田区№12遺跡,千代田区 神田神保町一丁目,[縄文時代][近世],貝塚　その他（上水道）,竹樋,縄文土器　陶磁器,139.7591696,35.69663226
13101001300,13101,13,めいじだいがくだいがくいんにしがわいせき,明治大学大学院西側遺跡,千代田区 神田駿河台一丁目,[縄文時代（前期）],包蔵地,,縄文土器,139.7612639,35.6988349
13101001400,13101,14,,千代田区№14遺跡,千代田区 大手町二丁目,[中世],単独出土地,,銅鐘,139.7683707,35.68525565
13101001500,13101,15,,千代田区№15遺跡,千代田区 麹町三丁目,[近世],上水道,[近世]上水木樋　石桝,,139.73814,35.68414911
13101001600,13101,16,,千代田区№16遺跡,千代田区 神田駿河台四丁目,[近世],包蔵地,,陶磁器　銅製高麗犬,139.7650405,35.69900219
13101001700,13101,17,,千代田区№17遺跡,千代田区 内幸町二丁目,[近世],包蔵地・上水路跡,[近世]木樋,陶磁器　煙管　箸　下駄　人形,139.7551184,35.6704748
13101001800,13101,18,,千代田区№18遺跡,千代田区 神田富山町,[近世],包蔵地,,銭貨,139.7730602,35.6933313
13101001900,13101,19,ひえじんじゃけいだいいせき,日枝神社境内遺跡,千代田区 永田町二丁目,[近世],包蔵地,,陶磁器　ホウロク　手焙り土器　瓦　石製品　土製人形　銭貨,139.7393599,35.67535557
13101002000,13101,20,とりつひとつばしこうこうないいせき,都立一橋高校内遺跡,千代田区 東神田一丁目,[近世],社寺・集落,[近世]建物基礎　井戸　下水道　墓壙,陶磁器　土製品　石製品　金属製品　木製品　人骨　獣骨　貝殻,139.7811283,35.69466967
13101002100,13101,21,がいむしょうこうないいせき,外務省構内遺跡,千代田区 霞ヶ関二丁目,[縄文時代][近世],大名屋敷,[近世]井戸　石組溝　上水桝　石垣　溝状遺構,縄文土器　陶磁器　瓦　金属製品　木製品　動物遺体,139.7498313,35.67437944
13101002200,13101,22,とうきょうこくりつきんだいびじゅつかんいせき,東京国立近代美術館遺跡,千代田区 北の丸公園,[旧石器時代][縄文時代（早期～後期）][弥生時代][古墳時代][中世][近世],集落・城館,[旧石器時代]礫群　[縄文時代][弥生時代][古墳時代]住居　[中世]井戸　土坑群　地下式土坑　溝状遺構　堀　[近世]井戸　石組遺構,縄文土器　弥生土器　土製勾玉　土師器　須恵器　砥石　土錘　石製<U+9299>帯　石製模造品　陶磁器　カワラケ　瓦　鉄鏃　板碑　ガラス製品　焼塩壺　銭貨,139.754735,35.69037522
13101002400,13101,24,こっかいとしょかんいせき,国会図書館遺跡,千代田区 永田町一丁目,[近世],井戸跡,[近世]井戸,煙管　井戸側板,139.7445784,35.67859066
13101002500,13101,25,,千代田区№25遺跡,千代田区 神田須田町一丁目,[近世],上水道,[近世]上水木樋,,139.769836,35.696224
13101002600,13101,26,,千代田区№26遺跡,千代田区 神田淡路町一丁目,[近世],包蔵地,,陶磁器,139.7661052,35.69560776
13101002700,13101,27,,千代田区№27遺跡,千代田区 内幸町一丁目,[近世],上水路跡,[近世]井戸　埋桝　継手,陶磁器　瓦　井戸側板・底板　下駄,139.7569037,35.66994487
13101002800,13101,28,えどじょうそとぼりあと,江戸城外堀跡,千代田区 霞が関三丁目 紀尾井町～富士見町,[近世],城館,※一部、国指定史跡江戸城外堀跡となっています。 [近世]谷 城館跡 壕 石垣,,139.748561,35.67075371
13101002900,13101,29,おおてまちいっちょうめいせき,大手町一丁目遺跡,千代田区 大手町一丁目,[近世],城館・屋敷・その他（石垣）,[近世]石垣遺構　建物跡　礎石列　穴蔵　竈　石組溝　上水木樋　上水井戸　下水溝　埋樋,陶磁器　土器　瓦　金属製品　銭貨　木製品　石製品　土製品　ガラス製品　動物遺体等,139.7647658,35.68849034
13101003000,13101,30,,千代田区№30遺跡,千代田区 大手町二丁目,[近世],城館,※一部、国指定史跡常盤橋門跡となっています。,,139.7700186,35.68592491
13101003100,13101,31,,千代田区№31遺跡,千代田区 北の丸公園,[近世],城館,[近世]石積暗渠,,139.7517137,35.68965024
13101003200,13101,32,,千代田区№32遺跡,千代田区 大手町一丁目,[近世],城館,一ツ橋門　[近世]石垣遺構,,139.7593756,35.69116723
13101003300,13101,33,きじばしかんれんいせき,雉子橋関連遺跡,千代田区 九段南一丁目,[近世],城館,江戸城外堀　雉子橋　[近世]石垣　橋脚基礎遺構,陶磁器　瓦　間知石　金属製品　木製品　人骨　獣骨,139.7555304,35.69325849
13101003500,13101,35,,千代田区№35遺跡,千代田区 隼町,[近世],その他（上水道）,[近世]上水木樋,,139.7449217,35.6801245
