"JASID","自治体コード","遺跡番号","ふりがな","遺跡名","所在地","時代","種別","主な遺構/概要","主な出土品","経度","緯度"
1310900100,13109,"1","かみおおさきかいづか","上大崎貝塚","品川区 上大崎一丁目","[縄文時代]","貝塚","","縄文土器　石器",139.72184,35.6351312
1310900200,13109,"2","","品川区No.2遺跡","品川区 東五反田一丁目","[縄文時代？]","包蔵地","","縄文土器?　石器",139.7272116,35.62867904
1310900300,13109,"3","","品川区No.3遺跡","品川区 東五反田三丁目","縄文時代（前期）]","包蔵地","","縄文土器",139.728664,35.62745086
1310900400,13109,"4","いけだやまきたいせき","池田山北遺跡","品川区 東五反田五丁目","[縄文時代（早期～中期）][弥生時代（後期）]","包蔵地・貝塚・集落","[縄文時代（早期～前期）]住居址　炉跡　貝層　[縄文時代]住居跡　炉跡　土坑　[縄文時代（前期）]～[弥生時代（後期）]竪穴式住居　土坑　[弥生時代]住居跡　炉跡　土坑　溝　[古墳時代]住居跡　土坑","縄文土器　打斧　磨斧　石皿　けつ状耳飾　弥生土器　磁器　燈明皿　擂鉢　動物遺体　打製石斧　耳飾　土器　土師器　石製耳飾",139.7229069,35.63109445
1310900500,13109,"5","","品川区No.5遺跡","品川区 東五反田五丁目","[縄文時代]","包蔵地","","縄文土器　打斧　石鏃",139.7240026,35.62985034
1310900600,13109,"6","","品川区No.6遺跡","品川区 西五反田一丁目","[縄文時代（中期）]","包蔵地","","縄文土器",139.7229391,35.62535828
1310900700,13109,"7","しろがねやかたあと","白金館址","品川区 上大崎二丁目","[中世]","城館","","",139.7185611,35.63848077
1310900800,13109,"8","ごてんやまいせき","御殿山遺跡","品川区 北品川五丁目","[縄文時代（前期）][弥生時代]","包蔵地","[弥生時代]住居跡　土坑　[古墳時代]住居跡　土坑　住居跡　炉穴","縄文土器　弥生土器　古墳土師器　須恵器",139.7337182,35.62050855
1310900900,13109,"9","きりがやいせき","桐ヶ谷遺跡","品川区 西五反田五丁目","[縄文時代（早期）]","包蔵地","","縄文土器",139.7139841,35.62207916
1310901000,13109,"10","いるきばしいせき","居木橋遺跡","品川区 大崎二丁目","[縄文時代（早期～後期）][弥生時代][中世]","集落跡・貝塚","[縄文時代]住居　土坑　ピット　[中世]溝","縄文土器　打斧　磨斧　石皿　耳飾　石棒　骨角製釣針　鯨骨製棒状骨角器　獣魚骨　弥生土器　抉入石斧　陶磁器　動物遺体",139.7245685,35.61720399
1310901100,13109,"11","みなみしながわおうけつぼぐん","南品川横穴墓群","品川区 南品川五丁目","[奈良時代][平安時代]","横穴墓","横穴墓","鉄製腕輪　人骨",139.738493,35.60802199
